Time	f(sum(transaction_count)/number(86400)) – Dash
18.06.2023	0.06412037037037037
19.06.2023	0.18072916666666666
20.06.2023	0.1491898148148148
21.06.2023	0.15355324074074075
22.06.2023	0.16693287037037038
23.06.2023	0.14055555555555554
24.06.2023	0.12746527777777777
25.06.2023	0.12234953703703703
26.06.2023	0.13671296296296295
27.06.2023	0.1583564814814815
28.06.2023	0.1600462962962963
29.06.2023	0.16277777777777777
30.06.2023	0.16657407407407407
01.07.2023	0.18121527777777777
02.07.2023	0.1774537037037037
03.07.2023	0.1648148148148148
04.07.2023	0.1643865740740741
05.07.2023	0.1474537037037037
06.07.2023	0.11991898148148149
07.07.2023	0.13921296296296296
08.07.2023	0.1414351851851852
09.07.2023	0.1190625
10.07.2023	0.1323726851851852
11.07.2023	0.14368055555555556
12.07.2023	0.1409375
13.07.2023	0.13871527777777778
14.07.2023	0.1775810185185185
15.07.2023	0.15614583333333334
16.07.2023	0.13496527777777778
17.07.2023	0.1489351851851852
18.07.2023	0.15072916666666666
19.07.2023	0.15079861111111112
20.07.2023	0.1604398148148148
21.07.2023	0.19163194444444445
22.07.2023	0.1511111111111111
23.07.2023	0.15306712962962962
24.07.2023	0.14606481481481481
25.07.2023	0.13784722222222223
26.07.2023	0.13708333333333333
27.07.2023	0.14965277777777777
28.07.2023	0.14587962962962964
29.07.2023	0.1388888888888889
30.07.2023	0.13163194444444445
31.07.2023	0.14841435185185184
01.08.2023	0.14021990740740742
02.08.2023	0.15637731481481482
03.08.2023	0.13251157407407407
04.08.2023	0.12702546296296297
05.08.2023	0.14027777777777778
06.08.2023	0.11857638888888888
07.08.2023	0.12467592592592593
08.08.2023	0.15893518518518518
09.08.2023	0.15019675925925927
10.08.2023	0.14450231481481482
11.08.2023	0.11983796296296297
12.08.2023	0.09005787037037037
13.08.2023	0.10278935185185185
14.08.2023	0.13699074074074075
15.08.2023	0.12039351851851852
16.08.2023	0.14130787037037038
17.08.2023	0.12377314814814815
18.08.2023	0.11837962962962963
