Time	f(sum(transaction_count)/number(86400)) – Bitcoin
18.06.2023	2.5321875
19.06.2023	4.810231481481481
20.06.2023	5.181886574074074
21.06.2023	4.20462962962963
22.06.2023	4.537511574074074
23.06.2023	4.3287152777777775
24.06.2023	4.183298611111111
25.06.2023	4.4301967592592595
26.06.2023	4.675682870370371
27.06.2023	5.033078703703704
28.06.2023	3.834236111111111
29.06.2023	5.071678240740741
30.06.2023	5.152743055555556
01.07.2023	3.7531712962962964
02.07.2023	3.587037037037037
03.07.2023	3.7976157407407407
04.07.2023	4.349618055555555
05.07.2023	5.743368055555556
06.07.2023	4.545
07.07.2023	6.435347222222222
08.07.2023	6.640011574074074
09.07.2023	6.878067129629629
10.07.2023	5.869386574074074
11.07.2023	5.003391203703703
12.07.2023	5.536111111111111
13.07.2023	4.350219907407407
14.07.2023	4.8803935185185185
15.07.2023	5.613194444444445
16.07.2023	6.888252314814815
17.07.2023	4.960787037037037
18.07.2023	6.744027777777778
19.07.2023	5.5584375
20.07.2023	4.6342592592592595
21.07.2023	3.7482291666666665
22.07.2023	3.342013888888889
23.07.2023	6.47712962962963
24.07.2023	6.133368055555556
25.07.2023	5.35400462962963
26.07.2023	5.240115740740741
27.07.2023	4.780532407407407
28.07.2023	5.199363425925926
29.07.2023	4.897210648148148
30.07.2023	7.475162037037037
31.07.2023	5.158171296296296
01.08.2023	4.77105324074074
02.08.2023	4.522777777777778
03.08.2023	5.509340277777778
04.08.2023	3.6861805555555556
05.08.2023	5.795405092592593
06.08.2023	7.028645833333333
07.08.2023	4.948310185185186
08.08.2023	3.833263888888889
09.08.2023	5.865115740740741
10.08.2023	4.143969907407407
11.08.2023	5.862708333333333
12.08.2023	5.832569444444444
13.08.2023	5.753611111111111
14.08.2023	6.5800578703703705
15.08.2023	6.748414351851852
16.08.2023	6.561087962962963
17.08.2023	5.813356481481481
18.08.2023	4.898229166666667
19.08.2023	6.0159722222222225
20.08.2023	7.088668981481481
21.08.2023	6.3665972222222225
22.08.2023	4.8710300925925925
23.08.2023	4.835902777777778
24.08.2023	4.61980324074074
